psraid,sample,int_date,fips,state,cregion,density,usr,vote01,pial1,pial2,pial3,pial4a,pial4b,pial4c,pial4d,pial4e,pial4f,pial5a,pial5b,pial5c,pial6a,pial6b,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,reg,party,partyln,ideo,zipcode,iphoneuse,hphoneuse,weight,standwt
101173,1,101212,47175,47,3,1,R,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1, , ,2,3,2,2,66,3,2,1,7,1,3,1,2,38585,2,2,2.26315789473684,.532190330198399
101175,1,101212,21207,21,3,1,R,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1, , ,2,1,2,2,56,5,2,1,6,1,1, ,2,42642,2,2,2.10526315789474,.495060772277581
101177,1,101212,53063,53,4,2,S,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1, , ,3,3,2,1,24,5,1,1,5,1,2, ,2,99207,2,2,9.94736842105263,2.33916214901157
101182,1,101212,17197,17,2,3,S,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1, , ,2,1,1,2,50,6,2,1,8,1,3,2,4,60544,2,2,3.21052631578947,.754967677723311
101183,1,101212,8001,8,4,3,S,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1, , ,1,1,1,1,49,6,2,1,6,1,1, ,1,80601,2,2,1.57894736842105,.371295579208186
101188,1,101412,6109,6,4,1,R,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,1,1,1,39,3,2,1,3,3,2, ,8,95370,2,2,5,1.17576933415925
101193,1,101212,1095,1,3,2,R,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1, , ,4,3,2,1,36,3,1,1,2,1,3,9,4,35976,2,2,8.10526315789474,1.90598397326869
101199,1,101212,4013,4,4,3,S,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1, , ,1,1,2,2,50,6,2,1,5,1,5,2,5,85382,2,2,1.84210526315789,.433178175742883
101201,1,101412,38017,38,2,1,U,3,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1, , ,3,3,2,1,18,2,2,1,8,1,1, ,2,58104,2,2,12.5789473684211,2.95798811435855
101211,1,101412,47071,47,3,1,R,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1, , ,1,1,1,1,36,6,1,9,3,1,4,1,3,38327,2,2,1.78947368421053,.420801656435944
101212,1,101212,17163,17,2,3,S,1,2,2,2, , , , , , , , , , , ,1, , ,1,3,2,2,84,3,2,1,3,1,2, ,3,62208,2,2,1.42105263157895,.334166021287367
101216,1,101212,31109,31,2,2,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,1,2,2,52,6,2,1,4,1,2, ,5,68505,2,2,3.42105263157895,.804473754951069
101226,1,101212,6013,6,4,4,S,1,2,2,2, , , , , , , , , , , ,1, , ,3,3,2,2,89,3,2,1,99,1,1, ,1,94519,2,2,3.73684210526316,.878732870792706
101227,1,101212,29217,29,2,1,R,3,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,2,2,2,53,3,2,1,1,1,1, ,3,64772,2,2,4.68421052631579,1.10151021831762
101245,1,101212,29215,29,2,1,R,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,1,3,2,2,68,4,2,1,2,1,3,9,3,65483,2,2,1,.235153866831851
101253,1,101212,1019,1,3,1,R,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1, , ,1,3,2,1,75,4,2,1,6,1,3,1,2,35983,2,2,1.05263157894737,.24753038613879
101268,1,101312,40147,40,3,2,R,1,2,2,2, , , , , , , , , , , ,2,1, ,3,3,2,2,70,3,2,1,3,1,4,1,3,74006,1,2,5.89473684210526,1.38617016237723
101270,1,101412,6065,6,4,2,S,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1, , ,1,3,2,2,78,4,2,1,3,1,1, ,2,92545,2,2,1.26315789473684,.297036463366549
101271,1,101212,6113,6,4,2,U,1,1,1,2,1,2,1,1,1,1,2,2,1,2,1,1, , ,2,3,2,2,59,8,2,1,6,1,2, ,5,95695,2,2,2.21052631578947,.51981381089146
101273,1,101212,53035,53,4,3,S,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1, , ,2,3,1,2,34,6,2,1,5,1,1, ,2,98392,2,2,4.47368421052632,1.05200414108986
