CaseID,weight1,weight2,tm_start,tm_finish,duration,XTESS089,XPPRACEM,XPARTY7,XIDEO,XREL1,XREL2,Block_Order_First,Block_Order_Second,Image_Shown,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET
28,.5,.85,10/28/2011,10/28/2011,2,12,7,2,3,1,1,1,2,12,2,4,6,4,2,0,2,2,4,4,28,2,1,6,1,4,1,1,3,5,5,1,1,4,9,3,91,0,1,0,0,2,1,1
29,.11,.22,10/28/2011,10/28/2011,2,6,2,1,6,11,3,1,2,6,1,4,6,6,1,4,6,6,2,2,19,1,1,9,2,2,1,1,1,1,12,5,1,3,7,2,74,0,0,0,0,1,1,1
30,.92,.36,10/28/2011,10/28/2011,2,2,1,3,4,11,1,2,1,2,4,5,8,6,4,5,8,6,4,4,35,3,2,12,4,1,1,1,4,1,14,1,1,2,3,1,32,1,1,0,0,2,1,1
32,.52,.88,10/28/2011,10/28/2011,2,3,7,6,4,13, ,2,1,3,1,4,6,4,1,4,6,4,1,1,24,1,1,9,2,4,1,1,4,1,10,1,1,3,5,1,59,0,1,0,1,2,1,1
33,.44,2.3,10/28/2011,10/28/2011,1,6,4,3,1,7,4,2,1,6,4,6,6,6,4,6,6,6,3,3,27,2,1,12,4,3,1,0,2,3,12,1,1,2,4,2,43,0,0,0,0,2,1,1
34,6.56,2.57,10/28/2011,10/28/2011,2,22,1,2,4,13, ,1,2,22,2,2,4,2,5,4,7,5,2,5,25,2,1,11,3,1,2,1,2,1,10,6,1,4,8,1,88,0,0,0,0,2,1,1
35,.02,.13,10/28/2011,10/28/2011,1,1,4,6,2,7,3,2,1,1,1,3,7,5,3,4,7,5,2,3,20,1,1,12,4,3,1,0,4,3,9,5,1,1,2,3,21,0,0,1,0,3,1,1
36,.27,1.43,10/28/2011,10/28/2011,19,21,4,7,2,13, ,1,2,21,2,4,4,5,3,4,5,5,2,1,28,2,1,14,4,3,2,1,2,3,15,6,1,3,5,2,53,0,0,0,0,2,1,1
37,.27,1.43,10/28/2011,10/28/2011,2,24,4,6,3,13, ,1,2,24,4,4,6,5,4,5,6,6,5,1,50,4,3,12,4,3,2,1,4,1,15,1,1,4,9,1,91,0,0,0,0,4,1,1
38,1.63,.64,10/28/2011,10/28/2011,1,8,1,3,6,1,2,2,1,8,2,5,6,2,2,5,-1,3,4,1,52,4,3,13,4,1,1,1,4,1,16,1,1,3,5,1,58,0,0,0,0,4,1,1
39,.03,.18,10/28/2011,10/28/2011,2,9,4,2,3,8,4,2,1,9,5,6,6,5,5,6,8,5,3,3,59,5,3,12,4,3,1,1,4,1,5,1,1,4,9,2,93,0,0,0,2,2,6,1
40,.25,.52,10/28/2011,10/28/2011,3,5,2,5,4,13, ,1,2,5,3,4,6,4,2,4,6,4,4,1,70,6,4,14,4,2,1,1,1,3,14,3,1,3,5,1,59,0,0,0,0,1,5,1
41,.11,.55,10/28/2011,10/28/2011,1,6,4,5,3,8,3,2,1,6,2,1,6,2,2,3,6,2,2,1,55,5,3,12,4,3,1,1,1,2,15,5,1,4,9,1,93,0,0,0,0,1,1,1
42,.28,.58,10/28/2011,10/28/2011,3,14,2,7,4,2,5,1,2,14,6,7,10,10,8,8,10,10,4,4,66,6,4,9,2,2,2,1,1,2,11,3,1,2,3,1,31,0,0,0,0,1,5,1
43,3.96,1.55,10/28/2011,10/28/2011,2,23,1,1,6,2,2,1,2,23,1,6,6,6,3,4,4,6,2,1,44,3,2,12,4,1,2,1,6,1,16,1,1,3,5,1,52,0,0,2,2,2,1,1
44,.04,.23,10/28/2011,10/28/2011,0,12,4,2,4,7,4,1,2,12,8,7,7,6,7,8,7,7,3,4,49,4,3,12,4,3,1,1,4,1,14,1,1,4,9,1,93,0,0,1,1,2,1,1
45,2.55,1,10/28/2011,10/28/2011,3,3,1,6,2,12,4,2,1,3,0,1,4,1,1,2,4,2,3,2,30,2,2,10,3,1,1,0,3,1,8,3,0,3,6,3,61,0,1,0,0,2,1,0
46,1.03,.4,10/28/2011,10/28/2011,2,8,1,3,6,11,1,1,2,8,2,3,4,3,2,3,4,3,3,3,60,5,4,10,3,1,1,0,3,1,6,5,1,2,3,1,33,0,0,0,0,3,2,1
47,6.25,2.45,10/28/2011,10/28/2011,20,1,1,5,3,11,6,1,2,1,2,5,8,3,2,6,8,3,5,3,29,2,1,12,4,1,1,1,1,1,13,5,1,4,9,2,93,0,0,0,0,1,7,1
48,.24,1.27,10/28/2011,10/28/2011,1,1,4,5,4,8,4,1,2,1,4,2,6,2,2,1,2,1,3,4,24,1,1,11,3,3,1,0,4,1,14,5,1,2,4,1,41,0,0,0,0,4,4,1
49,.2,1.03,10/28/2011,10/28/2011,0,6,4,6,4,13, ,1,2,6,4,6,9,8,5,7,4,6,3,4,20,1,1,9,2,3,1,1,2,3,4,5,1,4,8,2,86,0,0,0,0,2,4,1
50,.07,.37,10/28/2011,10/31/2011,4473,15,4,7,2,8,6,2,1,15,3,5,7,5,3,6,6,4,2,2,57,5,3,12,4,3,2,1,2,1,16,1,1,3,5,1,59,0,0,0,0,2,2,1
51,2.51,.98,10/28/2011,10/28/2011,3,19,1,3,6,3,2,1,2,19,8,6,8,7,7,7,9,6,5,1,69,6,4,8,1,1,2,1,1,1,5,2,1,3,7,1,74,0,0,0,0,1,1,0
52,.62,1.29,10/28/2011,10/28/2011,1,2,2,7,2,6,3,1,2,2,1,6,8,9,1,2,8,8,5,1,46,4,3,14,4,2,1,1,1,3,11,3,1,3,6,2,63,0,0,0,0,1,1,1
53,.05,.27,10/28/2011,10/28/2011,1,2,4,6,3,3,5,1,2,2,4,6,8,7,4,6,7,6,3,2,32,2,2,12,4,3,1,1,3,1,14,1,1,4,9,1,93,0,1,0,0,2,1,1
54,1.86,.73,10/28/2011,10/28/2011,2,16,1,5,3,3,5,2,1,16,5,5,10,5,5,5,10,5,4,3,53,4,3,12,4,1,2,1,2,1,16,1,1,1,1,1,11,0,0,0,0,2,5,1
55,1.54,8.04,10/28/2011,10/28/2011,2,11,4,7,4,2,5,1,2,11,10,10,10,10,6,6,10,7,1,4,62,5,4,9,2,3,1,1,1,3,3,5,1,1,2,2,21,0,0,0,0,1,5,1
56,5.72,2.24,10/28/2011,10/28/2011,4,2,1,5,7,13, ,1,2,2,2,2,0,2,1,0,0,0,2,2,29,2,1,7,1,1,1,1,4,3,1,6,1,2,3,2,33,0,1,0,0,3,7,1
57,.72,1.49,10/28/2011,10/28/2011,2,19,2,6,4,1,6,2,1,19,5,5,5,5,5,5,5,5,3,3,40,3,2,9,2,2,2,1,3,3,6,3,1,3,6,2,63,0,1,0,0,2,6,0
58,.27,.45,10/28/2011,10/28/2011,1,10,1,5,2,8,2,2,1,10,6,6,8,6,4,6,6,6,2,4,77,7,4,10,3,4,1,1,1,1,6,2,0,4,9,1,92,0,0,0,0,1,5,0
59,.31,.64,10/28/2011,10/28/2011,5,17,2,7,2,9,1,2,1,17,2,10,10,10,4,2,10,10,4,1,59,5,3,7,1,2,2,1,1,1,7,1,0,3,5,1,56,0,0,0,0,1,6,0
